|problem|case|correction|sep1|first_frame_bad|sep2|raw_dd_common|raw_dd_xing|raw_dd_info|raw_dd_vbri|raw_dd_id3v2|sep3|highest_tag|xing_present|lame_present|lame_valid|sep4|enc_delay|enc_padding|nogap_continued|nogap_continuation|sep5|bitrate_mode|bitrate_value|file
117|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000117.mp3
118|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|576|no|no|___|UNK|UNK|0000118.mp3
119|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|804|no|no|___|UNK|UNK|0000119.mp3
120|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|1201|UNK|UNK|UNK|___|UNK|UNK|0000120.mp3
121|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000121.mp3
122|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000122.mp3
123|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000123.mp3
124|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000124.mp3
125|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1656|no|no|___|UNK|UNK|0000125.mp3
126|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|792|no|no|___|UNK|UNK|0000126.mp3
127|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000127.mp3
128|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000128.mp3
129|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000129.mp3
130|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1728|no|no|___|UNK|UNK|0000130.mp3
131|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1681|no|no|___|UNK|UNK|0000131.mp3
132|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1472|no|no|___|UNK|UNK|0000132.mp3
133|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000133.mp3
134|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000134.mp3
135|no|D|0|___|no|___||no|no|no|no|___|lame|yes|yes|passed|___|576|612|no|no|___|UNK|UNK|0000135.mp3
136|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000136.mp3
137|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000137.mp3
138|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1137|no|no|___|UNK|UNK|0000138.mp3
139|yes|B|26|___|no|___|Xing|yes|no|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000139.mp3
140|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000140.mp3
141|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1856|no|no|___|UNK|UNK|0000141.mp3
142|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000142.mp3
143|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000143.mp3
144|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1105|no|no|___|UNK|UNK|0000144.mp3
145|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000145.mp3
146|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000146.mp3
147|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000147.mp3
148|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1356|no|no|___|UNK|UNK|0000148.mp3
149|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000149.mp3
150|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1728|no|no|___|UNK|UNK|0000150.mp3
151|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|936|no|no|___|UNK|UNK|0000151.mp3
152|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000152.mp3
153|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000153.mp3
154|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000154.mp3
155|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1332|no|no|___|UNK|UNK|0000155.mp3
156|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1600|no|no|___|UNK|UNK|0000156.mp3
157|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1728|no|no|___|UNK|UNK|0000157.mp3
158|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000158.mp3
159|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1448|no|no|___|UNK|UNK|0000159.mp3
160|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|927|no|no|___|UNK|UNK|0000160.mp3
161|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1656|no|no|___|UNK|UNK|0000161.mp3
162|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000162.mp3
163|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1224|no|no|___|UNK|UNK|0000163.mp3
164|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000164.mp3
165|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000165.mp3
166|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|960|no|no|___|UNK|UNK|0000166.mp3
167|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000167.mp3
168|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1418|no|no|___|UNK|UNK|0000168.mp3
169|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|762|no|no|___|UNK|UNK|0000169.mp3
170|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1472|no|no|___|UNK|UNK|0000170.mp3
171|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1764|no|no|___|UNK|UNK|0000171.mp3
172|yes|C|26|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|failed|___|576|576|no|no|___|UNK|UNK|0000172.mp3
173|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1428|no|no|___|UNK|UNK|0000173.mp3
174|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000174.mp3
175|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|2075|no|no|___|UNK|UNK|0000175.mp3
176|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1328|no|no|___|UNK|UNK|0000176.mp3
177|yes|C|26|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|failed|___|576|1407|no|no|___|UNK|UNK|0000177.mp3
178|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1223|no|no|___|UNK|UNK|0000178.mp3
179|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000179.mp3
180|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1216|no|no|___|UNK|UNK|0000180.mp3
181|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1364|no|no|___|UNK|UNK|0000181.mp3
182|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000182.mp3
183|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000183.mp3
184|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000184.mp3
185|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1873|no|no|___|UNK|UNK|0000185.mp3
186|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1434|no|no|___|UNK|UNK|0000186.mp3
187|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1859|no|no|___|UNK|UNK|0000187.mp3
188|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000188.mp3
189|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1775|no|no|___|UNK|UNK|0000189.mp3
190|yes|C|26|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|failed|___|576|1152|no|no|___|UNK|UNK|0000190.mp3
191|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000191.mp3
192|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1344|no|no|___|UNK|UNK|0000192.mp3
193|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1618|no|no|___|UNK|UNK|0000193.mp3
194|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1481|no|no|___|UNK|UNK|0000194.mp3
